<Car: AMC Ambassador Brougham, MPG: 13.0, Cylinders: 8, Displacement: 360.0, Horsepower: 175.0, Weight: 3821.0, Acceleration: 11.0, Model: 73, Origin: US>
<Car: Buick Estate Wagon (sw), MPG: 14.0, Cylinders: 8, Displacement: 455.0, Horsepower: 225.0, Weight: 3086.0, Acceleration: 10.0, Model: 70, Origin: US>
<Car: Buick Estate Wagon (sw), MPG: 16.9, Cylinders: 8, Displacement: 350.0, Horsepower: 155.0, Weight: 4360.0, Acceleration: 14.9, Model: 79, Origin: US>
<Car: Buick LeSabre Custom, MPG: 13.0, Cylinders: 8, Displacement: 350.0, Horsepower: 155.0, Weight: 4502.0, Acceleration: 13.5, Model: 72, Origin: US>
<Car: Buick Opel Isuzu Deluxe, MPG: 30.0, Cylinders: 4, Displacement: 111.0, Horsepower: 80.0, Weight: 2155.0, Acceleration: 14.8, Model: 77, Origin: US>
<Car: Buick Regal Sport Coupe (turbo), MPG: 17.7, Cylinders: 6, Displacement: 231.0, Horsepower: 165.0, Weight: 3445.0, Acceleration: 13.4, Model: 78, Origin: US>
<Car: Buick Skyhawk, MPG: 21.0, Cylinders: 6, Displacement: 231.0, Horsepower: 110.0, Weight: 3039.0, Acceleration: 15.0, Model: 75, Origin: US>
<Car: Buick Skylark, MPG: 20.5, Cylinders: 6, Displacement: 231.0, Horsepower: 105.0, Weight: 3425.0, Acceleration: 16.9, Model: 77, Origin: US>
<Car: Buick Skylark, MPG: 26.6, Cylinders: 4, Displacement: 151.0, Horsepower: 84.0, Weight: 2635.0, Acceleration: 16.4, Model: 81, Origin: US>
<Car: Buick Skylark 320, MPG: 15.0, Cylinders: 8, Displacement: 350.0, Horsepower: 165.0, Weight: 3693.0, Acceleration: 11.5, Model: 70, Origin: US>
<Car: Buick Skylark Limited, MPG: 28.4, Cylinders: 4, Displacement: 151.0, Horsepower: 90.0, Weight: 2670.0, Acceleration: 16.0, Model: 79, Origin: US>
<Car: Cadillac Eldorado, MPG: 23.0, Cylinders: 8, Displacement: 350.0, Horsepower: 125.0, Weight: 3900.0, Acceleration: 17.4, Model: 79, Origin: US>
<Car: Cadillac Seville, MPG: 16.5, Cylinders: 8, Displacement: 350.0, Horsepower: 180.0, Weight: 4380.0, Acceleration: 12.1, Model: 76, Origin: US>
<Car: Capri ii, MPG: 25.0, Cylinders: 4, Displacement: 140.0, Horsepower: 92.0, Weight: 2572.0, Acceleration: 14.9, Model: 76, Origin: US>
<Car: Chevrolet Bel Air, MPG: 15.0, Cylinders: 8, Displacement: 350.0, Horsepower: 145.0, Weight: 4440.0, Acceleration: 14.0, Model: 75, Origin: US>
<Car: Chevrolet C10, MPG: 13.0, Cylinders: 8, Displacement: 350.0, Horsepower: 145.0, Weight: 4055.0, Acceleration: 12.0, Model: 76, Origin: US>
<Car: Chevrolet Camaro, MPG: 27.0, Cylinders: 4, Displacement: 151.0, Horsepower: 90.0, Weight: 2950.0, Acceleration: 17.3, Model: 82, Origin: US>
<Car: Chevrolet Caprice Classic, MPG: 13.0, Cylinders: 8, Displacement: 400.0, Horsepower: 150.0, Weight: 4464.0, Acceleration: 12.0, Model: 73, Origin: US>
<Car: Chevrolet Caprice Classic, MPG: 17.5, Cylinders: 8, Displacement: 305.0, Horsepower: 145.0, Weight: 3880.0, Acceleration: 12.5, Model: 77, Origin: US>
<Car: Chevrolet Caprice Classic, MPG: 17.0, Cylinders: 8, Displacement: 305.0, Horsepower: 130.0, Weight: 3840.0, Acceleration: 15.4, Model: 79, Origin: US>
<Car: Chevrolet Cavalier, MPG: 28.0, Cylinders: 4, Displacement: 112.0, Horsepower: 88.0, Weight: 2605.0, Acceleration: 19.6, Model: 82, Origin: US>
<Car: Chevrolet Cavalier 2-door, MPG: 34.0, Cylinders: 4, Displacement: 112.0, Horsepower: 88.0, Weight: 2395.0, Acceleration: 18.0, Model: 82, Origin: US>
<Car: Chevrolet Cavalier Wagon, MPG: 27.0, Cylinders: 4, Displacement: 112.0, Horsepower: 88.0, Weight: 2640.0, Acceleration: 18.6, Model: 82, Origin: US>
<Car: Chevrolet Chevelle Concours (sw), MPG: 0.0, Cylinders: 8, Displacement: 350.0, Horsepower: 165.0, Weight: 4142.0, Acceleration: 11.5, Model: 70, Origin: US>
<Car: Chevrolet Chevelle Concours (sw), MPG: 13.0, Cylinders: 8, Displacement: 307.0, Horsepower: 130.0, Weight: 4098.0, Acceleration: 14.0, Model: 72, Origin: US>
<Car: Chevrolet Chevelle Malibu, MPG: 18.0, Cylinders: 8, Displacement: 307.0, Horsepower: 130.0, Weight: 3504.0, Acceleration: 12.0, Model: 70, Origin: US>
<Car: Chevrolet Chevelle Malibu, MPG: 17.0, Cylinders: 6, Displacement: 250.0, Horsepower: 100.0, Weight: 3329.0, Acceleration: 15.5, Model: 71, Origin: US>
<Car: Chevrolet Chevelle Malibu Classic, MPG: 16.0, Cylinders: 6, Displacement: 250.0, Horsepower: 100.0, Weight: 3781.0, Acceleration: 17.0, Model: 74, Origin: US>
<Car: Chevrolet Chevelle Malibu Classic, MPG: 17.5, Cylinders: 8, Displacement: 305.0, Horsepower: 140.0, Weight: 4215.0, Acceleration: 13.0, Model: 76, Origin: US>
<Car: Chevrolet Chevette, MPG: 29.0, Cylinders: 4, Displacement: 85.0, Horsepower: 52.0, Weight: 2035.0, Acceleration: 22.2, Model: 76, Origin: US>
<Car: Chevrolet Chevette, MPG: 30.5, Cylinders: 4, Displacement: 98.0, Horsepower: 63.0, Weight: 2051.0, Acceleration: 17.0, Model: 77, Origin: US>
<Car: Chevrolet Chevette, MPG: 30.0, Cylinders: 4, Displacement: 98.0, Horsepower: 68.0, Weight: 2155.0, Acceleration: 16.5, Model: 78, Origin: US>
<Car: Chevrolet Chevette, MPG: 32.1, Cylinders: 4, Displacement: 98.0, Horsepower: 70.0, Weight: 2120.0, Acceleration: 15.5, Model: 80, Origin: US>
<Car: Chevrolet Citation, MPG: 28.8, Cylinders: 6, Displacement: 173.0, Horsepower: 115.0, Weight: 2595.0, Acceleration: 11.3, Model: 79, Origin: US>
<Car: Chevrolet Citation, MPG: 28.0, Cylinders: 4, Displacement: 151.0, Horsepower: 90.0, Weight: 2678.0, Acceleration: 16.5, Model: 80, Origin: US>
<Car: Chevrolet Citation, MPG: 23.5, Cylinders: 6, Displacement: 173.0, Horsepower: 110.0, Weight: 2725.0, Acceleration: 12.6, Model: 81, Origin: US>
<Car: Chevrolet Concours, MPG: 17.5, Cylinders: 6, Displacement: 250.0, Horsepower: 110.0, Weight: 3520.0, Acceleration: 16.4, Model: 77, Origin: US>
<Car: Chevrolet Impala, MPG: 14.0, Cylinders: 8, Displacement: 454.0, Horsepower: 220.0, Weight: 4354.0, Acceleration: 9.0, Model: 70, Origin: US>
<Car: Chevrolet Impala, MPG: 14.0, Cylinders: 8, Displacement: 350.0, Horsepower: 165.0, Weight: 4209.0, Acceleration: 12.0, Model: 71, Origin: US>
<Car: Chevrolet Impala, MPG: 13.0, Cylinders: 8, Displacement: 350.0, Horsepower: 165.0, Weight: 4274.0, Acceleration: 12.0, Model: 72, Origin: US>
<Car: Chevrolet Impala, MPG: 11.0, Cylinders: 8, Displacement: 400.0, Horsepower: 150.0, Weight: 4997.0, Acceleration: 14.0, Model: 73, Origin: US>
<Car: Chevrolet Malibu, MPG: 13.0, Cylinders: 8, Displacement: 350.0, Horsepower: 145.0, Weight: 3988.0, Acceleration: 13.0, Model: 73, Origin: US>
<Car: Chevrolet Malibu, MPG: 20.5, Cylinders: 6, Displacement: 200.0, Horsepower: 95.0, Weight: 3155.0, Acceleration: 18.2, Model: 78, Origin: US>
<Car: Chevrolet Malibu Classic (sw), MPG: 19.2, Cylinders: 8, Displacement: 267.0, Horsepower: 125.0, Weight: 3605.0, Acceleration: 15.0, Model: 79, Origin: US>
<Car: Chevrolet Monte Carlo, MPG: 15.0, Cylinders: 8, Displacement: 400.0, Horsepower: 150.0, Weight: 3761.0, Acceleration: 9.5, Model: 70, Origin: US>
<Car: Chevrolet Monte Carlo Landau, MPG: 15.5, Cylinders: 8, Displacement: 350.0, Horsepower: 170.0, Weight: 4165.0, Acceleration: 11.4, Model: 77, Origin: US>
<Car: Chevrolet Monte Carlo Landau, MPG: 19.2, Cylinders: 8, Displacement: 305.0, Horsepower: 145.0, Weight: 3425.0, Acceleration: 13.2, Model: 78, Origin: US>
<Car: Chevrolet Monte Carlo S, MPG: 15.0, Cylinders: 8, Displacement: 350.0, Horsepower: 145.0, Weight: 4082.0, Acceleration: 13.0, Model: 73, Origin: US>
<Car: Chevrolet Monza 2+2, MPG: 20.0, Cylinders: 8, Displacement: 262.0, Horsepower: 110.0, Weight: 3221.0, Acceleration: 13.5, Model: 75, Origin: US>
<Car: Chevrolet Nova, MPG: 15.0, Cylinders: 6, Displacement: 250.0, Horsepower: 100.0, Weight: 3336.0, Acceleration: 17.0, Model: 74, Origin: US>
<Car: Chevrolet Nova, MPG: 18.0, Cylinders: 6, Displacement: 250.0, Horsepower: 105.0, Weight: 3459.0, Acceleration: 16.0, Model: 75, Origin: US>
<Car: Chevrolet Nova, MPG: 22.0, Cylinders: 6, Displacement: 250.0, Horsepower: 105.0, Weight: 3353.0, Acceleration: 14.5, Model: 76, Origin: US>
<Car: Chevrolet Nova Custom, MPG: 16.0, Cylinders: 6, Displacement: 250.0, Horsepower: 100.0, Weight: 3278.0, Acceleration: 18.0, Model: 73, Origin: US>
<Car: Chevrolet Vega, MPG: 20.0, Cylinders: 4, Displacement: 140.0, Horsepower: 90.0, Weight: 2408.0, Acceleration: 19.5, Model: 72, Origin: US>
<Car: Chevrolet Vega, MPG: 21.0, Cylinders: 4, Displacement: 140.0, Horsepower: 72.0, Weight: 2401.0, Acceleration: 19.5, Model: 73, Origin: US>
<Car: Chevrolet Vega, MPG: 25.0, Cylinders: 4, Displacement: 140.0, Horsepower: 75.0, Weight: 2542.0, Acceleration: 17.0, Model: 74, Origin: US>
<Car: Chevrolet Vega (sw), MPG: 22.0, Cylinders: 4, Displacement: 140.0, Horsepower: 72.0, Weight: 2408.0, Acceleration: 19.0, Model: 71, Origin: US>
<Car: Chevrolet Vega 2300, MPG: 28.0, Cylinders: 4, Displacement: 140.0, Horsepower: 90.0, Weight: 2264.0, Acceleration: 15.5, Model: 71, Origin: US>
<Car: Chevrolet Woody, MPG: 24.5, Cylinders: 4, Displacement: 98.0, Horsepower: 60.0, Weight: 2164.0, Acceleration: 22.1, Model: 76, Origin: US>
<Car: Chevrolete Chevelle Malibu, MPG: 16.0, Cylinders: 6, Displacement: 250.0, Horsepower: 105.0, Weight: 3897.0, Acceleration: 18.5, Model: 75, Origin: US>
<Car: Chevy C20, MPG: 10.0, Cylinders: 8, Displacement: 307.0, Horsepower: 200.0, Weight: 4376.0, Acceleration: 15.0, Model: 70, Origin: US>
<Car: Chevy S-10, MPG: 31.0, Cylinders: 4, Displacement: 119.0, Horsepower: 82.0, Weight: 2720.0, Acceleration: 19.4, Model: 82, Origin: US>
<Car: Chrysler Cordoba, MPG: 15.5, Cylinders: 8, Displacement: 400.0, Horsepower: 190.0, Weight: 4325.0, Acceleration: 12.2, Model: 77, Origin: US>
<Car: Chrysler Lebaron Medallion, MPG: 26.0, Cylinders: 4, Displacement: 156.0, Horsepower: 92.0, Weight: 2585.0, Acceleration: 14.5, Model: 82, Origin: US>
<Car: Chrysler Lebaron Salon, MPG: 17.6, Cylinders: 6, Displacement: 225.0, Horsepower: 85.0, Weight: 3465.0, Acceleration: 16.6, Model: 81, Origin: US>
<Car: Chrysler Lebaron Town @ Country (sw), MPG: 18.5, Cylinders: 8, Displacement: 360.0, Horsepower: 150.0, Weight: 3940.0, Acceleration: 13.0, Model: 79, Origin: US>
<Car: Chrysler New Yorker Brougham, MPG: 13.0, Cylinders: 8, Displacement: 440.0, Horsepower: 215.0, Weight: 4735.0, Acceleration: 11.0, Model: 73, Origin: US>
<Car: Chrysler Newport Royal, MPG: 13.0, Cylinders: 8, Displacement: 400.0, Horsepower: 190.0, Weight: 4422.0, Acceleration: 12.5, Model: 72, Origin: US>
<Car: Citroen DS-21 Pallas, MPG: 0.0, Cylinders: 4, Displacement: 133.0, Horsepower: 115.0, Weight: 3090.0, Acceleration: 17.5, Model: 70, Origin: Europe>
<Car: Datsun 1200, MPG: 35.0, Cylinders: 4, Displacement: 72.0, Horsepower: 69.0, Weight: 1613.0, Acceleration: 18.0, Model: 71, Origin: Japan>
<Car: Datsun 200-SX, MPG: 23.9, Cylinders: 4, Displacement: 119.0, Horsepower: 97.0, Weight: 2405.0, Acceleration: 14.9, Model: 78, Origin: Japan>
<Car: Datsun 200SX, MPG: 32.9, Cylinders: 4, Displacement: 119.0, Horsepower: 100.0, Weight: 2615.0, Acceleration: 14.8, Model: 81, Origin: Japan>
<Car: Datsun 210, MPG: 31.8, Cylinders: 4, Displacement: 85.0, Horsepower: 65.0, Weight: 2020.0, Acceleration: 19.2, Model: 79, Origin: Japan>
<Car: Datsun 210, MPG: 40.8, Cylinders: 4, Displacement: 85.0, Horsepower: 65.0, Weight: 2110.0, Acceleration: 19.2, Model: 80, Origin: Japan>
<Car: Datsun 210 MPG, MPG: 37.0, Cylinders: 4, Displacement: 85.0, Horsepower: 65.0, Weight: 1975.0, Acceleration: 19.4, Model: 81, Origin: Japan>
<Car: Datsun 280-ZX, MPG: 32.7, Cylinders: 6, Displacement: 168.0, Horsepower: 132.0, Weight: 2910.0, Acceleration: 11.4, Model: 80, Origin: Japan>
<Car: Datsun 310, MPG: 37.2, Cylinders: 4, Displacement: 86.0, Horsepower: 65.0, Weight: 2019.0, Acceleration: 16.4, Model: 80, Origin: Japan>
<Car: Datsun 310 GX, MPG: 38.0, Cylinders: 4, Displacement: 91.0, Horsepower: 67.0, Weight: 1995.0, Acceleration: 16.2, Model: 82, Origin: Japan>
<Car: Datsun 510, MPG: 27.2, Cylinders: 4, Displacement: 119.0, Horsepower: 97.0, Weight: 2300.0, Acceleration: 14.7, Model: 78, Origin: Japan>
<Car: Datsun 510 (sw), MPG: 28.0, Cylinders: 4, Displacement: 97.0, Horsepower: 92.0, Weight: 2288.0, Acceleration: 17.0, Model: 72, Origin: Japan>
<Car: Datsun 510 Hatchback, MPG: 37.0, Cylinders: 4, Displacement: 119.0, Horsepower: 92.0, Weight: 2434.0, Acceleration: 15.0, Model: 80, Origin: Japan>
<Car: Datsun 610, MPG: 22.0, Cylinders: 4, Displacement: 108.0, Horsepower: 94.0, Weight: 2379.0, Acceleration: 16.5, Model: 73, Origin: Japan>
<Car: Datsun 710, MPG: 32.0, Cylinders: 4, Displacement: 83.0, Horsepower: 61.0, Weight: 2003.0, Acceleration: 19.0, Model: 74, Origin: Japan>
<Car: Datsun 710, MPG: 24.0, Cylinders: 4, Displacement: 119.0, Horsepower: 97.0, Weight: 2545.0, Acceleration: 17.0, Model: 75, Origin: Japan>
<Car: Datsun 810, MPG: 22.0, Cylinders: 6, Displacement: 146.0, Horsepower: 97.0, Weight: 2815.0, Acceleration: 14.5, Model: 77, Origin: Japan>
<Car: Datsun 810 Maxima, MPG: 24.2, Cylinders: 6, Displacement: 146.0, Horsepower: 120.0, Weight: 2930.0, Acceleration: 13.8, Model: 81, Origin: Japan>
<Car: Datsun B-210, MPG: 32.0, Cylinders: 4, Displacement: 85.0, Horsepower: 70.0, Weight: 1990.0, Acceleration: 17.0, Model: 76, Origin: Japan>
<Car: Datsun B210, MPG: 31.0, Cylinders: 4, Displacement: 79.0, Horsepower: 67.0, Weight: 1950.0, Acceleration: 19.0, Model: 74, Origin: Japan>
<Car: Datsun B210 GX, MPG: 39.4, Cylinders: 4, Displacement: 85.0, Horsepower: 70.0, Weight: 2070.0, Acceleration: 18.6, Model: 78, Origin: Japan>
<Car: Datsun F-10 Hatchback, MPG: 33.5, Cylinders: 4, Displacement: 85.0, Horsepower: 70.0, Weight: 1945.0, Acceleration: 16.8, Model: 77, Origin: Japan>
<Car: Datsun PL510, MPG: 27.0, Cylinders: 4, Displacement: 97.0, Horsepower: 88.0, Weight: 2130.0, Acceleration: 14.5, Model: 70, Origin: Japan>
<Car: Datsun PL510, MPG: 27.0, Cylinders: 4, Displacement: 97.0, Horsepower: 88.0, Weight: 2130.0, Acceleration: 14.5, Model: 71, Origin: Japan>
<Car: Dodge Aries SE, MPG: 29.0, Cylinders: 4, Displacement: 135.0, Horsepower: 84.0, Weight: 2525.0, Acceleration: 16.0, Model: 82, Origin: US>
<Car: Dodge Aries Wagon (sw), MPG: 25.8, Cylinders: 4, Displacement: 156.0, Horsepower: 92.0, Weight: 2620.0, Acceleration: 14.4, Model: 81, Origin: US>
<Car: Dodge Aspen, MPG: 18.6, Cylinders: 6, Displacement: 225.0, Horsepower: 110.0, Weight: 3620.0, Acceleration: 18.7, Model: 78, Origin: US>
<Car: Dodge Aspen, MPG: 19.1, Cylinders: 6, Displacement: 225.0, Horsepower: 90.0, Weight: 3381.0, Acceleration: 18.7, Model: 80, Origin: US>
<Car: Dodge Aspen 6, MPG: 20.6, Cylinders: 6, Displacement: 225.0, Horsepower: 110.0, Weight: 3360.0, Acceleration: 16.6, Model: 79, Origin: US>
<Car: Dodge Aspen SE, MPG: 20.0, Cylinders: 6, Displacement: 225.0, Horsepower: 100.0, Weight: 3651.0, Acceleration: 17.7, Model: 76, Origin: US>
<Car: Dodge Challenger SE, MPG: 15.0, Cylinders: 8, Displacement: 383.0, Horsepower: 170.0, Weight: 3563.0, Acceleration: 10.0, Model: 70, Origin: US>
<Car: Dodge Charger 2.2, MPG: 36.0, Cylinders: 4, Displacement: 135.0, Horsepower: 84.0, Weight: 2370.0, Acceleration: 13.0, Model: 82, Origin: US>
<Car: Dodge Colt, MPG: 28.0, Cylinders: 4, Displacement: 90.0, Horsepower: 75.0, Weight: 2125.0, Acceleration: 14.5, Model: 74, Origin: US>
<Car: Dodge Colt, MPG: 26.0, Cylinders: 4, Displacement: 98.0, Horsepower: 79.0, Weight: 2255.0, Acceleration: 17.7, Model: 76, Origin: US>
<Car: Dodge Colt, MPG: 27.9, Cylinders: 4, Displacement: 156.0, Horsepower: 105.0, Weight: 2800.0, Acceleration: 14.4, Model: 80, Origin: US>
<Car: Dodge Colt (sw), MPG: 28.0, Cylinders: 4, Displacement: 98.0, Horsepower: 80.0, Weight: 2164.0, Acceleration: 15.0, Model: 72, Origin: US>
<Car: Dodge Colt Hardtop, MPG: 25.0, Cylinders: 4, Displacement: 97.5, Horsepower: 80.0, Weight: 2126.0, Acceleration: 17.0, Model: 72, Origin: US>
<Car: Dodge Colt Hatchback Custom, MPG: 35.7, Cylinders: 4, Displacement: 98.0, Horsepower: 80.0, Weight: 1915.0, Acceleration: 14.4, Model: 79, Origin: US>
<Car: Dodge Colt m/m, MPG: 33.5, Cylinders: 4, Displacement: 98.0, Horsepower: 83.0, Weight: 2075.0, Acceleration: 15.9, Model: 77, Origin: US>
<Car: Dodge Coronet Brougham, MPG: 16.0, Cylinders: 8, Displacement: 318.0, Horsepower: 150.0, Weight: 4190.0, Acceleration: 13.0, Model: 76, Origin: US>
<Car: Dodge Coronet Custom, MPG: 15.0, Cylinders: 8, Displacement: 318.0, Horsepower: 150.0, Weight: 3777.0, Acceleration: 12.5, Model: 73, Origin: US>
<Car: Dodge Coronet Custom (sw), MPG: 14.0, Cylinders: 8, Displacement: 318.0, Horsepower: 150.0, Weight: 4457.0, Acceleration: 13.5, Model: 74, Origin: US>
<Car: Dodge D100, MPG: 13.0, Cylinders: 8, Displacement: 318.0, Horsepower: 150.0, Weight: 3755.0, Acceleration: 14.0, Model: 76, Origin: US>
<Car: Dodge D200, MPG: 11.0, Cylinders: 8, Displacement: 318.0, Horsepower: 210.0, Weight: 4382.0, Acceleration: 13.5, Model: 70, Origin: US>
<Car: Dodge Dart Custom, MPG: 15.0, Cylinders: 8, Displacement: 318.0, Horsepower: 150.0, Weight: 3399.0, Acceleration: 11.0, Model: 73, Origin: US>
